,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
8667,0.807,0.493,10,-7.087000000000001,0,0.139,0.3929999999999999,0.0,0.138,0.262,151.178,4,214974,Underground Rap
9642,0.705,0.421,6,-11.784,0,0.507,0.607,0.0,0.108,0.528,199.778,4,175334,Underground Rap
6049,0.74,0.574,4,-6.938,1,0.245,0.411,0.0,0.262,0.33,149.762,4,140747,Underground Rap
11813,0.648,0.7979999999999999,1,-4.132,1,0.0506,0.00606,0.211,0.217,0.0829,109.964,4,122455,Trap Metal
12156,0.421,0.154,0,-12.405,1,0.0319,0.102,0.00692,0.207,0.0949,199.772,4,112800,Trap Metal
11599,0.759,0.497,1,-6.454,1,0.0459,0.161,1.07e-05,0.108,0.0386,199.992,4,129672,Trap Metal
12211,0.6990000000000001,0.7440000000000001,8,-3.524,1,0.0684,0.0938,0.0,0.276,0.107,111.033,4,164467,Trap Metal
10827,0.866,0.635,10,-10.623,0,0.0603,0.108,1.7800000000000002e-05,0.0896,0.306,190.024,4,161684,Trap Metal
12072,0.513,0.645,2,-4.749,1,0.413,0.122,0.0,0.291,0.5870000000000001,160.356,4,161078,Trap Metal
11565,0.893,0.61,11,-6.532,0,0.181,0.435,0.00133,0.111,0.272,119.998,4,152230,Trap Metal
11876,0.525,0.637,7,-3.389,1,0.0373,0.855,0.0222,0.105,0.033,134.969,3,130821,Trap Metal
12145,0.852,0.6629999999999999,7,-9.203,1,0.157,0.00521,2.39e-05,0.384,0.192,125.032,4,127615,Trap Metal
10760,0.655,0.953,10,-5.702999999999999,0,0.178,0.00725,0.0,0.297,0.551,172.013,4,141000,Trap Metal
12329,0.4539999999999999,0.975,0,-4.169,1,0.191,0.3939999999999999,0.0,0.0739,0.0375,109.913,4,142818,Trap Metal
10948,0.568,0.932,1,-1.966,1,0.452,0.0107,0.0,0.693,0.521,172.76,4,195072,Trap Metal
